country,gdp_ppp
singapore,141553
luxembourg,139106
qatar,128919
ireland,124578
macao,116491
norway,100668
switzerland,89315
brunei,85268
usa,82769
taiwan,79031
netherlands,78103
iceland,76159
united arab emirates,76110
denmark,73547
andorra,71731
hong kong,71549
australia,70340
austria,70297
germany,69027
belgium,68894
sweden,67024
bahrain,63498
canada,63419
malta,63256
finland,61575
saudi arabia,61103
united kingdom,58273
france,58167
italy,57652
cyprus,57066
guyana,54732
israel,54128
slovenia,53813
new zealand,53481
spain,53092
czechia,53080
rep. of korea,51713
kuwait,51561
lithuania,50783
japan,49885
portugal,47209
estonia,46669
poland,46450
romania,45659
croatia,45485
aruba,44967
hungary,44905
russian federation,44120
slovakia,43513
oman,42520
turkey,42217
latvia,41384
greece,41076
panama,39803
kazakhstan,38515
bulgaria,37411
bahamas,36742
malaysia,36417
trinidad and tobago,35189
uruguay,34427
saint kitts & nevis,33750
chile,32893
seychelles,32706
antigua and barbuda,32149
montenegro,30887
belarus,30763
argentina,30082
mauritius,29511
serbia,28674
costa rica,28112
saint lucia,25974
dominican republic,25624
georgia,25072
mexico,24767
maldives,24735
china,24569
north macedonia,24327
azerbaijan,23598
thailand,23465
bosnia and herzegovina,22391
armenia,21343
barbados,21336
albania,21208
suriname,21136
brazil,21107
botswana,20916
gabon,20757
colombia,20676
st. vincent & grenadines,20349
turkmenistan,19829
dominica,19334
grenada,18808
egypt,18525
mongolia,18005
iran,17660
ukraine,17630
moldova,17597
palau,17532
paraguay,17517
equatorial guinea,17412
peru,16974
algeria,16824
ecuador,16062
indonesia,15416
south africa,15194
fiji,15152
viet nam,14974
sri lanka,14461
iraq,14107
tunisia,13932
libya,13849
belize,13823
guatemala,13750
el salvador,12657
jamaica,11422
eswatini,11245
namibia,11216
uzbekistan,11107
philippines,10989
bolivia,10925
jordan,10391
cabo verde,10309
india,10166
morocco,9843
laos,9292
bangladesh,9148
nicaragua,8309
angola,8041
ghana,7543
marshall islands,7532
cambodia,7426
côte d'ivoire,7198
honduras,7179
kyrgyzstan,7106
samoa,6997
mauritania,6946
congo,6850
kenya,6307
nigeria,6207
tuvalu,6151
sao tome & principe,6150
pakistan,6037
myanmar,5953
state of palestine,5897
cameroon,5406
nepal,5394
tajikistan,4964
timor-leste,4804
senegal,4791
papua new guinea,4633
guinea,4383
micronesia,4314
benin,4130
zambia,4077
tanzania,4019
comoros,3883
zimbabwe,3820
kiribati,3547
vanuatu,3461
rwanda,3396
sierra leone,3368
haiti,3281
gambia,3254
uganda,3098
togo,3072
ethiopia,3058
lesotho,2881
guinea-bissau,2862
solomon islands,2812
burkina faso,2755
sudan,2740
mali,2658
afghanistan,2211
niger,1891
chad,1864
malawi,1830
madagascar,1824
liberia,1795
mozambique,1678
dr congo,1616
central african republic,1260
burundi,920
